request_id,therapist_id,session_id,request_date,converted
r_000091,t_0033,s_000639,2024-08-25,false
r_000092,t_0033,s_000651,2024-08-08,true
r_000093,t_0033,s_000661,2024-10-05,true
r_000094,t_0033,s_000663,2024-09-07,true
r_000095,t_0034,s_000673,2024-09-09,true
r_000096,t_0034,s_000676,2024-09-05,true
r_000097,t_0035,s_000685,2024-09-06,true
r_000098,t_0035,s_000686,2024-08-23,false
r_000099,t_0035,s_000687,2024-09-28,false
r_000100,t_0035,s_000691,2024-09-29,true
r_000101,t_0036,s_000699,2024-11-10,true
r_000102,t_0036,s_000700,2024-11-22,true
r_000103,t_0037,s_000715,2024-03-06,false
r_000104,t_0037,s_000722,2024-03-07,true
r_000105,t_0038,s_000725,2024-06-11,true
r_000106,t_0038,s_000730,2024-06-27,false
r_000107,t_0039,s_000741,2024-11-14,false
r_000108,t_0039,s_000744,2024-12-15,true
r_000109,t_0039,s_000748,2024-11-01,false
r_000110,t_0039,s_000753,2024-11-30,true
r_000111,t_0040,s_000769,2024-05-03,true
r_000112,t_0041,s_000777,2024-09-01,true
r_000113,t_0041,s_000781,2024-10-23,true
r_000114,t_0041,s_000784,2024-09-07,false
r_000115,t_0041,s_000788,2024-09-12,true
r_000116,t_0041,s_000790,2024-09-25,true
r_000117,t_0041,s_000794,2024-10-01,false
r_000118,t_0042,s_000810,2024-06-22,false
r_000119,t_0042,s_000815,2024-08-06,true
r_000120,t_0044,s_000853,2024-03-17,false
r_000121,t_0044,s_000854,2024-03-02,true
r_000122,t_0045,s_000856,2024-12-31,true
r_000123,t_0045,s_000871,2024-12-31,true
r_000124,t_0046,s_000880,2024-05-18,true
r_000125,t_0046,s_000885,2024-06-24,false
r_000126,t_0046,s_000886,2024-05-06,true
r_000127,t_0047,s_000903,2024-02-04,true
r_000128,t_0047,s_000906,2024-02-29,true
r_000129,t_0047,s_000915,2024-03-15,true
r_000130,t_0047,s_000916,2024-02-12,true
r_000131,t_0047,s_000918,2024-03-21,true
r_000132,t_0048,s_000927,2024-09-24,true
r_000133,t_0048,s_000937,2024-10-18,true
r_000134,t_0049,s_000965,2024-09-12,false
r_000135,t_0049,s_000971,2024-10-07,true
r_000136,t_0049,s_000974,2024-09-26,false
r_000137,t_0049,s_000975,2024-10-21,true
r_000138,t_0049,s_000978,2024-10-03,true
r_000139,t_0051,s_000993,2024-10-14,true
r_000140,t_0051,s_000994,2024-10-04,true
r_000141,t_0051,s_001006,2024-10-03,true
r_000142,t_0052,s_001010,2024-02-20,true
r_000143,t_0053,s_001034,2024-06-10,true
r_000144,t_0054,s_001055,2024-11-24,false
r_000145,t_0055,s_001091,2024-07-07,true
r_000146,t_0056,s_001106,2024-07-30,false
r_000147,t_0057,s_001125,2024-02-10,true
r_000148,t_0057,s_001132,2024-02-23,true
r_000149,t_0057,s_001138,2024-03-07,true
r_000150,t_0058,s_001142,2024-03-08,true
r_000151,t_0058,s_001143,2024-02-29,false
r_000152,t_0058,s_001147,2024-02-20,false
r_000153,t_0058,s_001149,2024-02-23,false
r_000154,t_0059,s_001168,2024-04-05,true
r_000155,t_0060,s_001171,2024-10-06,false
r_000156,t_0060,s_001182,2024-11-20,true
r_000157,t_0061,s_001185,2024-11-26,true
r_000158,t_0061,s_001189,2024-11-02,true
r_000159,t_0062,s_001205,2024-03-22,false
r_000160,t_0063,s_001212,2024-08-19,true
r_000161,t_0063,s_001218,2024-07-20,true
r_000162,t_0063,s_001224,2024-07-01,true
r_000163,t_0065,s_001241,2024-06-05,true
r_000164,t_0065,s_001242,2024-05-22,false
r_000165,t_0065,s_001245,2024-06-21,false
r_000166,t_0065,s_001251,2024-07-04,true
r_000167,t_0065,s_001254,2024-06-02,true
r_000168,t_0066,s_001280,2024-06-17,true
r_000169,t_0067,s_001282,2024-04-19,false
r_000170,t_0067,s_001284,2024-02-28,true
r_000171,t_0067,s_001293,2024-04-11,true
r_000172,t_0067,s_001295,2024-04-11,true
r_000173,t_0068,s_001313,2024-07-16,true
r_000174,t_0069,s_001336,2024-08-04,true
r_000175,t_0069,s_001344,2024-08-30,true
r_000176,t_0069,s_001351,2024-08-23,true
r_000177,t_0069,s_001360,2024-08-28,true
r_000178,t_0069,s_001361,2024-07-24,true
r_000179,t_0069,s_001362,2024-08-16,true
r_000180,t_0070,s_001371,2024-05-02,true
r_000181,t_0070,s_001372,2024-05-05,true
r_000182,t_0070,s_001374,2024-06-09,true
r_000183,t_0071,s_001384,2024-09-10,false
r_000184,t_0071,s_001385,2024-08-22,false
r_000185,t_0071,s_001386,2024-08-14,false
r_000186,t_0072,s_001408,2024-04-30,false
r_000187,t_0073,s_001413,2024-07-30,false
r_000188,t_0073,s_001418,2024-09-10,true
r_000189,t_0073,s_001423,2024-09-25,true
r_000190,t_0073,s_001426,2024-09-27,true
r_000191,t_0073,s_001427,2024-08-18,true
r_000192,t_0073,s_001429,2024-09-27,false
r_000193,t_0074,s_001464,2024-12-31,false
r_000194,t_0076,s_001492,2024-12-31,true
r_000195,t_0076,s_001499,2024-12-31,false
r_000196,t_0077,s_001529,2024-06-11,true
r_000197,t_0077,s_001535,2024-07-10,false
r_000198,t_0078,s_001543,2024-03-09,true
r_000199,t_0078,s_001545,2024-01-26,true
r_000200,t_0078,s_001546,2024-02-01,false
r_000201,t_0078,s_001551,2024-03-12,true
r_000202,t_0078,s_001553,2024-02-08,true
r_000203,t_0078,s_001556,2024-03-11,true
r_000204,t_0078,s_001560,2024-01-28,true
r_000205,t_0078,s_001566,2024-03-04,false
r_000206,t_0079,s_001583,2024-07-15,true
r_000207,t_0080,s_001603,2024-08-05,false
r_000208,t_0080,s_001608,2024-07-13,true
r_000209,t_0080,s_001609,2024-08-06,true
r_000210,t_0080,s_001610,2024-07-12,true
r_000211,t_0080,s_001615,2024-07-18,false
r_000212,t_0080,s_001617,2024-06-17,false
r_000213,t_0080,s_001620,2024-07-20,true
r_000214,t_0081,s_001627,2024-12-06,true
r_000215,t_0081,s_001630,2024-11-12,true
r_000216,t_0081,s_001631,2024-10-27,true
r_000217,t_0081,s_001632,2024-10-29,true
r_000218,t_0081,s_001636,2024-11-22,false
r_000219,t_0082,s_001652,2024-10-18,true
r_000220,t_0083,s_001656,2024-02-07,true
r_000221,t_0083,s_001661,2024-03-23,true
r_000222,t_0084,s_001672,2024-04-14,false
r_000223,t_0085,s_001679,2024-06-27,false
r_000224,t_0085,s_001686,2024-06-22,false
r_000225,t_0085,s_001687,2024-06-19,true
r_000226,t_0085,s_001695,2024-07-25,true
r_000227,t_0085,s_001696,2024-08-16,true
r_000228,t_0085,s_001697,2024-07-01,true
r_000229,t_0087,s_001718,2024-07-26,true
r_000230,t_0087,s_001721,2024-07-16,true
r_000231,t_0087,s_001722,2024-06-12,true
r_000232,t_0087,s_001723,2024-06-16,false
r_000233,t_0087,s_001726,2024-08-03,true
r_000234,t_0087,s_001731,2024-06-28,false
r_000235,t_0087,s_001738,2024-07-06,false
r_000236,t_0087,s_001744,2024-07-13,true
r_000237,t_0088,s_001766,2024-08-29,true
r_000238,t_0088,s_001770,2024-09-03,true
r_000239,t_0089,s_001777,2024-09-28,false
r_000240,t_0089,s_001780,2024-10-02,true
r_000241,t_0089,s_001783,2024-08-20,true
r_000242,t_0089,s_001794,2024-10-01,false
r_000243,t_0089,s_001804,2024-09-30,false
r_000244,t_0089,s_001805,2024-10-12,false
r_000245,t_0089,s_001808,2024-08-22,true
r_000246,t_0089,s_001809,2024-09-18,false
r_000247,t_0090,s_001814,2024-06-15,true
r_000248,t_0090,s_001817,2024-07-23,false
r_000249,t_0090,s_001818,2024-07-02,true
r_000250,t_0090,s_001820,2024-07-10,true
r_000251,t_0090,s_001821,2024-06-28,false
r_000252,t_0090,s_001829,2024-06-26,true
r_000253,t_0090,s_001830,2024-06-12,true
r_000254,t_0091,s_001840,2024-06-02,true
r_000255,t_0091,s_001843,2024-05-12,true
r_000256,t_0091,s_001846,2024-05-03,true
r_000257,t_0091,s_001848,2024-05-30,true
r_000258,t_0092,s_001865,2024-02-23,true
r_000259,t_0093,s_001877,2024-11-21,true
r_000260,t_0093,s_001886,2024-11-25,false
r_000261,t_0094,s_001890,2024-06-24,false
r_000262,t_0094,s_001901,2024-05-27,true
r_000263,t_0094,s_001904,2024-06-17,false
r_000264,t_0094,s_001907,2024-06-10,true
r_000265,t_0094,s_001909,2024-06-14,false
r_000266,t_0095,s_001913,2024-05-29,true
r_000267,t_0095,s_001914,2024-05-06,false
r_000268,t_0095,s_001917,2024-05-03,true
r_000269,t_0095,s_001918,2024-05-10,false
r_000270,t_0095,s_001921,2024-06-15,true
r_000271,t_0096,s_001924,2024-11-13,true
r_000272,t_0096,s_001936,2024-12-14,true
r_000273,t_0096,s_001944,2024-12-10,true
r_000274,t_0096,s_001945,2024-10-28,true
r_000275,t_0097,s_001956,2024-09-01,true
r_000276,t_0097,s_001958,2024-10-04,true
r_000277,t_0097,s_001964,2024-09-16,true
r_000278,t_0097,s_001966,2024-09-01,true
r_000279,t_0097,s_001971,2024-10-24,true
r_000280,t_0097,s_001973,2024-08-27,true
r_000281,t_0098,s_001995,2024-08-31,true
r_000282,t_0098,s_001997,2024-09-06,true
r_000283,t_0099,s_002006,2024-11-25,true
r_000284,t_0099,s_002011,2024-11-19,false
r_000285,t_0099,s_002016,2024-10-16,true
r_000286,t_0099,s_002019,2024-10-21,true
r_000287,t_0099,s_002028,2024-10-25,true
r_000288,t_0099,s_002034,2024-11-08,true
r_000289,t_0100,s_002041,2024-07-04,false
r_000290,t_0100,s_002046,2024-06-22,false
r_000291,t_0100,s_002052,2024-07-02,false
r_000292,t_0101,s_002068,2024-06-16,false
r_000293,t_0101,s_002069,2024-05-09,false
r_000294,t_0101,s_002071,2024-05-23,false
r_000295,t_0101,s_002079,2024-05-25,true
r_000296,t_0101,s_002084,2024-06-13,true
r_000297,t_0101,s_002088,2024-05-10,false
r_000298,t_0102,s_002091,2024-08-09,false
r_000299,t_0102,s_002094,2024-07-30,true
r_000300,t_0103,s_002103,2024-07-15,false
r_000301,t_0103,s_002106,2024-09-12,true
r_000302,t_0103,s_002111,2024-07-28,false
r_000303,t_0104,s_002129,2024-06-30,true
r_000304,t_0104,s_002138,2024-07-15,false
r_000305,t_0104,s_002140,2024-07-28,true
r_000306,t_0104,s_002145,2024-07-28,true
r_000307,t_0104,s_002146,2024-08-13,true
r_000308,t_0104,s_002149,2024-07-14,true
r_000309,t_0104,s_002151,2024-07-20,true
r_000310,t_0104,s_002160,2024-07-03,false
r_000311,t_0104,s_002161,2024-07-02,true
r_000312,t_0105,s_002165,2024-07-27,true
r_000313,t_0105,s_002167,2024-08-27,true
r_000314,t_0105,s_002169,2024-07-22,true
r_000315,t_0105,s_002171,2024-08-06,true
r_000316,t_0106,s_002183,2024-11-06,false
r_000317,t_0107,s_002198,2024-09-06,false
r_000318,t_0107,s_002199,2024-08-26,true
r_000319,t_0107,s_002203,2024-07-24,true
r_000320,t_0108,s_002234,2024-11-08,true
r_000321,t_0108,s_002235,2024-10-21,true
r_000322,t_0108,s_002236,2024-10-08,true
r_000323,t_0108,s_002238,2024-10-30,true
r_000324,t_0108,s_002241,2024-10-31,true
r_000325,t_0109,s_002260,2024-08-25,true
r_000326,t_0109,s_002262,2024-10-11,true
r_000327,t_0109,s_002271,2024-10-06,true
r_000328,t_0110,s_002276,2024-10-01,true
r_000329,t_0110,s_002278,2024-09-20,false
r_000330,t_0110,s_002285,2024-10-23,false
r_000331,t_0110,s_002289,2024-09-23,false
r_000332,t_0110,s_002300,2024-09-21,false
r_000333,t_0110,s_002307,2024-09-01,false
r_000334,t_0110,s_002308,2024-09-03,true
r_000335,t_0111,s_002323,2024-07-29,true
r_000336,t_0111,s_002329,2024-09-10,true
r_000337,t_0111,s_002332,2024-08-29,true
r_000338,t_0111,s_002334,2024-08-06,false
r_000339,t_0112,s_002346,2024-04-07,true
r_000340,t_0112,s_002347,2024-05-04,true
r_000341,t_0113,s_002360,2024-05-15,false
r_000342,t_0113,s_002365,2024-05-01,true
r_000343,t_0113,s_002382,2024-06-12,false
r_000344,t_0114,s_002385,2024-08-11,true
r_000345,t_0114,s_002388,2024-08-14,true
r_000346,t_0116,s_002425,2024-12-31,false
r_000347,t_0116,s_002432,2024-12-04,false
r_000348,t_0116,s_002434,2024-12-31,true
r_000349,t_0116,s_002436,2024-12-31,true
r_000350,t_0116,s_002437,2024-12-31,false
r_000351,t_0116,s_002443,2024-12-31,true
r_000352,t_0117,s_002464,2024-02-28,true
r_000353,t_0117,s_002468,2024-02-21,true
r_000354,t_0117,s_002474,2024-03-02,true
r_000355,t_0118,s_002476,2024-11-18,true
r_000356,t_0118,s_002493,2024-10-30,false
r_000357,t_0118,s_002496,2024-11-02,true
r_000358,t_0118,s_002499,2024-10-27,false
r_000359,t_0118,s_002500,2024-11-14,false
r_000360,t_0119,s_002512,2024-04-24,false
r_000361,t_0119,s_002528,2024-04-16,false
r_000362,t_0119,s_002533,2024-04-05,true
r_000363,t_0120,s_002547,2024-04-12,false
r_000364,t_0120,s_002555,2024-04-26,true
r_000365,t_0120,s_002557,2024-04-03,true
r_000366,t_0121,s_002570,2024-10-31,true
r_000367,t_0121,s_002574,2024-12-02,true
r_000368,t_0121,s_002584,2024-11-03,false
r_000369,t_0121,s_002592,2024-10-30,false
r_000370,t_0121,s_002597,2024-10-21,true
r_000371,t_0122,s_002601,2024-04-26,false
r_000372,t_0124,s_002633,2024-12-04,true
r_000373,t_0124,s_002637,2024-11-30,true
r_000374,t_0125,s_002662,2024-03-21,true
r_000375,t_0125,s_002665,2024-02-12,true
r_000376,t_0125,s_002667,2024-04-07,true
r_000377,t_0125,s_002669,2024-02-11,true
r_000378,t_0126,s_002675,2024-03-04,true
r_000379,t_0126,s_002676,2024-02-29,true
r_000380,t_0126,s_002685,2024-03-17,true
r_000381,t_0126,s_002693,2024-03-01,true
r_000382,t_0126,s_002698,2024-04-20,true
r_000383,t_0127,s_002707,2024-09-13,false
r_000384,t_0127,s_002711,2024-10-04,true
r_000385,t_0127,s_002714,2024-10-03,false
r_000386,t_0128,s_002722,2024-11-04,false
r_000387,t_0128,s_002723,2024-10-21,false
r_000388,t_0128,s_002733,2024-10-22,false
r_000389,t_0129,s_002749,2024-05-13,true
r_000390,t_0130,s_002755,2024-10-22,true
r_000391,t_0131,s_002782,2024-06-27,false
r_000392,t_0131,s_002790,2024-07-03,true
r_000393,t_0132,s_002800,2024-12-09,true
r_000394,t_0132,s_002801,2024-12-15,true
r_000395,t_0132,s_002805,2024-12-15,true
r_000396,t_0132,s_002811,2024-12-07,true
r_000397,t_0133,s_002818,2024-06-04,true
r_000398,t_0133,s_002821,2024-05-20,false
r_000399,t_0133,s_002839,2024-05-29,false
r_000400,t_0133,s_002840,2024-04-16,false
r_000401,t_0134,s_002849,2024-05-09,true
r_000402,t_0134,s_002853,2024-06-11,false
r_000403,t_0134,s_002854,2024-07-01,true
r_000404,t_0134,s_002855,2024-05-13,true
r_000405,t_0134,s_002870,2024-06-15,false
r_000406,t_0134,s_002871,2024-05-31,true
r_000407,t_0134,s_002872,2024-05-16,false
r_000408,t_0135,s_002881,2024-02-19,true
r_000409,t_0135,s_002891,2024-03-10,true
r_000410,t_0135,s_002898,2024-02-25,true
r_000411,t_0135,s_002900,2024-02-27,false
r_000412,t_0136,s_002903,2024-12-04,true
r_000413,t_0136,s_002905,2024-12-21,true
r_000414,t_0136,s_002928,2024-10-26,false
r_000415,t_0137,s_002933,2024-11-02,true
r_000416,t_0137,s_002936,2024-10-15,false
r_000417,t_0137,s_002937,2024-11-09,true
r_000418,t_0137,s_002946,2024-11-12,true
r_000419,t_0138,s_002957,2024-06-27,true
r_000420,t_0139,s_002970,2024-12-31,false
r_000421,t_0139,s_002972,2024-12-31,true
r_000422,t_0139,s_002973,2024-12-31,true
r_000423,t_0139,s_002977,2024-12-31,false
r_000424,t_0139,s_002979,2024-12-30,false
r_000425,t_0140,s_002995,2024-11-25,true
r_000426,t_0140,s_002998,2024-11-22,true
r_000427,t_0140,s_003010,2024-12-24,true
r_000428,t_0141,s_003020,2024-05-01,false
r_000429,t_0141,s_003024,2024-05-29,true
r_000430,t_0141,s_003035,2024-04-19,false
r_000431,t_0142,s_003042,2024-11-17,true
r_000432,t_0143,s_003080,2024-12-31,true
r_000433,t_0143,s_003082,2024-12-31,false
r_000434,t_0144,s_003094,2024-01-23,true
r_000435,t_0144,s_003095,2024-02-04,false
r_000436,t_0144,s_003097,2024-01-13,false
r_000437,t_0145,s_003107,2024-03-21,false
r_000438,t_0145,s_003109,2024-02-16,true
r_000439,t_0145,s_003112,2024-02-13,true
r_000440,t_0145,s_003115,2024-02-01,true
r_000441,t_0145,s_003117,2024-02-07,false
r_000442,t_0145,s_003125,2024-02-10,true
r_000443,t_0145,s_003134,2024-03-20,false
r_000444,t_0146,s_003138,2024-08-11,true
r_000445,t_0146,s_003140,2024-07-27,true
r_000446,t_0146,s_003144,2024-08-07,true
r_000447,t_0146,s_003150,2024-08-08,true
r_000448,t_0146,s_003151,2024-08-29,true
r_000449,t_0146,s_003152,2024-09-02,true
r_000450,t_0146,s_003154,2024-09-16,false
r_000451,t_0146,s_003161,2024-08-23,false
r_000452,t_0146,s_003162,2024-08-05,true
r_000453,t_0147,s_003175,2024-11-20,true
r_000454,t_0147,s_003188,2024-11-05,false
r_000455,t_0148,s_003196,2024-08-14,false
r_000456,t_0148,s_003220,2024-08-20,true
r_000457,t_0149,s_003234,2024-07-14,true
r_000458,t_0149,s_003235,2024-08-07,true
r_000459,t_0150,s_003241,2024-07-25,false
r_000460,t_0150,s_003250,2024-07-08,false
r_000461,t_0150,s_003260,2024-07-09,true
r_000462,t_0150,s_003264,2024-06-11,true
r_000463,t_0151,s_003265,2024-04-30,false
r_000464,t_0151,s_003271,2024-04-29,true
r_000465,t_0151,s_003273,2024-05-30,false
r_000466,t_0151,s_003278,2024-04-18,true
r_000467,t_0151,s_003279,2024-05-05,true
r_000468,t_0152,s_003294,2024-05-16,true
r_000469,t_0152,s_003295,2024-04-24,true
r_000470,t_0154,s_003318,2024-12-31,true
r_000471,t_0154,s_003331,2024-12-31,false
r_000472,t_0154,s_003332,2024-12-31,true
r_000473,t_0154,s_003333,2024-12-31,false
r_000474,t_0154,s_003336,2024-12-31,true
r_000475,t_0154,s_003338,2024-12-31,true
r_000476,t_0154,s_003340,2024-12-31,true
r_000477,t_0154,s_003341,2024-12-31,false
r_000478,t_0154,s_003342,2024-12-31,false
r_000479,t_0154,s_003344,2024-12-30,true
r_000480,t_0155,s_003353,2024-12-31,true
r_000481,t_0155,s_003354,2024-12-20,false
r_000482,t_0155,s_003360,2024-12-31,true
r_000483,t_0155,s_003364,2024-12-03,true
r_000484,t_0155,s_003371,2024-11-29,true
r_000485,t_0155,s_003376,2024-12-09,true
r_000486,t_0156,s_003380,2024-10-07,true
r_000487,t_0156,s_003384,2024-10-08,true
r_000488,t_0157,s_003394,2024-02-12,true
r_000489,t_0157,s_003400,2024-02-19,true
r_000490,t_0157,s_003403,2024-02-18,true
r_000491,t_0157,s_003405,2024-03-09,false
r_000492,t_0158,s_003410,2024-12-10,true
r_000493,t_0158,s_003412,2024-12-06,true
r_000494,t_0158,s_003422,2024-11-15,true
r_000495,t_0158,s_003430,2024-11-03,false
r_000496,t_0158,s_003433,2024-10-21,false
r_000497,t_0158,s_003436,2024-12-14,false
r_000498,t_0159,s_003439,2024-12-31,false
r_000499,t_0159,s_003441,2024-12-31,true
r_000500,t_0159,s_003447,2024-12-31,true
r_000501,t_0159,s_003451,2024-12-31,false
r_000502,t_0159,s_003452,2024-12-31,true
r_000503,t_0159,s_003453,2024-12-31,false
r_000504,t_0159,s_003455,2024-12-31,false
r_000505,t_0160,s_003466,2024-04-02,false
r_000506,t_0160,s_003471,2024-03-07,true
r_000507,t_0160,s_003488,2024-03-19,false
r_000508,t_0160,s_003489,2024-02-24,false
r_000509,t_0160,s_003490,2024-03-23,true
r_000510,t_0160,s_003493,2024-03-10,true
r_000511,t_0161,s_003512,2024-03-15,false
r_000512,t_0161,s_003513,2024-02-22,false
r_000513,t_0162,s_003521,2024-01-27,true
r_000514,t_0162,s_003525,2024-02-23,true
r_000515,t_0162,s_003533,2024-02-12,true
r_000516,t_0162,s_003542,2024-03-04,true
r_000517,t_0162,s_003545,2024-02-24,true
r_000518,t_0163,s_003555,2024-05-10,false
r_000519,t_0163,s_003557,2024-05-03,true
r_000520,t_0163,s_003568,2024-05-13,true
r_000521,t_0164,s_003590,2024-11-27,true
r_000522,t_0165,s_003603,2024-08-06,true
r_000523,t_0165,s_003604,2024-08-20,true
r_000524,t_0165,s_003605,2024-09-14,true
r_000525,t_0165,s_003614,2024-08-15,true
r_000526,t_0165,s_003619,2024-08-11,true
r_000527,t_0166,s_003633,2024-12-26,false
r_000528,t_0167,s_003644,2024-11-10,false
r_000529,t_0167,s_003659,2024-10-11,true
r_000530,t_0167,s_003661,2024-10-15,false
r_000531,t_0168,s_003673,2024-09-03,true
r_000532,t_0168,s_003678,2024-08-14,true
r_000533,t_0168,s_003680,2024-08-09,false
r_000534,t_0169,s_003684,2024-11-18,true
r_000535,t_0169,s_003693,2024-11-24,true
r_000536,t_0169,s_003694,2024-11-07,true
r_000537,t_0169,s_003698,2024-11-27,true
r_000538,t_0169,s_003700,2024-10-18,true
r_000539,t_0170,s_003721,2024-10-12,true
r_000540,t_0171,s_003730,2024-03-20,false
r_000541,t_0171,s_003732,2024-03-25,false
r_000542,t_0171,s_003734,2024-04-13,true
r_000543,t_0172,s_003750,2024-12-31,true
r_000544,t_0172,s_003753,2024-12-07,true
r_000545,t_0172,s_003773,2024-11-21,true
r_000546,t_0173,s_003774,2024-02-22,false
r_000547,t_0173,s_003777,2024-01-21,true
r_000548,t_0173,s_003787,2024-03-01,false
r_000549,t_0173,s_003793,2024-02-26,true
r_000550,t_0173,s_003799,2024-02-13,false
r_000551,t_0173,s_003800,2024-02-03,true
r_000552,t_0174,s_003806,2024-04-26,true
r_000553,t_0174,s_003813,2024-03-05,true
r_000554,t_0174,s_003814,2024-04-06,false
r_000555,t_0175,s_003818,2024-07-09,true
r_000556,t_0175,s_003821,2024-07-20,true
r_000557,t_0175,s_003827,2024-06-07,true
r_000558,t_0175,s_003838,2024-07-14,true
r_000559,t_0175,s_003845,2024-07-17,false
r_000560,t_0176,s_003851,2024-12-07,true
r_000561,t_0176,s_003854,2024-10-20,true
r_000562,t_0177,s_003870,2024-04-09,false
r_000563,t_0177,s_003877,2024-04-18,true
r_000564,t_0177,s_003879,2024-04-17,true
r_000565,t_0177,s_003881,2024-04-20,false
r_000566,t_0178,s_003905,2024-11-04,false
r_000567,t_0178,s_003906,2024-11-09,false
r_000568,t_0179,s_003911,2024-11-01,false
r_000569,t_0179,s_003913,2024-11-25,false
r_000570,t_0179,s_003919,2024-12-14,true
r_000571,t_0179,s_003933,2024-11-30,true
r_000572,t_0179,s_003934,2024-11-15,false
r_000573,t_0180,s_003941,2024-09-30,true
r_000574,t_0180,s_003954,2024-09-08,true
r_000575,t_0181,s_003968,2024-07-21,true
r_000576,t_0182,s_003978,2024-06-16,true
r_000577,t_0182,s_003982,2024-05-17,false
r_000578,t_0182,s_003983,2024-05-03,false
r_000579,t_0183,s_003992,2024-12-31,false
r_000580,t_0183,s_003994,2024-12-31,true
r_000581,t_0183,s_003997,2024-12-31,true
